Date,,Day of Week (Sunday = 0),Total Lines Changed,Files Changed,Insertions,Deletions,Difference,Lines Changed Percentile,Files Changed Percentile,Insertions Percentile,Deletions Percentile,ActivityLog Count,ActionLog Distinct User Count,EventLog Count,EventLog Distinct User Count
12/2/2011,145,5,602,38,425,144,281,0.381,0.453,0.428,0.354,14706,505,140356,356
12/3/2011,146,6,205,7,203,2,201,0.143,0.08,0.238,0.008,6450,452,76706,391
12/4/2011,147,0,309,27,55,254,-199,0.234,0.314,0.094,0.504,5540,420,83164,343
12/5/2011,148,1,573,28,320,64,256,0.369,0.329,0.369,0.213,17718,769,158749,609
12/6/2011,149,2,1158,53,878,91,787,0.525,0.586,0.613,0.27,18290,1201,213760,1045
12/7/2011,150,3,3381,184,2239,1141,1098,0.803,0.894,0.833,0.805,21565,4611,204814,1111
12/8/2011,151,4,407,58,198,214,-16,0.297,0.62,0.232,0.449,14989,1111,149817,947
12/9/2011,152,5,1805,114,1449,356,1093,0.66,0.822,0.723,0.578,12354,695,132703,590
12/10/2011,153,6,42,3,21,21,0,0.054,0.042,0.059,0.094,6803,358,86132,287
12/11/2011,154,0,2355,480,916,509,407,0.721,0.93,0.626,0.651,8338,544,83112,468
12/12/2011,155,1,5243,122,1228,251,977,0.873,0.843,0.694,0.497,17679,1292,156423,1131
12/13/2011,156,2,2709,131,422,2287,-1865,0.757,0.864,0.421,0.892,19189,1219,188257,1065
12/14/2011,157,3,2060,127,1798,262,1536,0.689,0.854,0.78,0.512,25016,4680,162916,1299
12/15/2011,158,4,562,41,445,117,328,0.362,0.489,0.438,0.303,19434,920,183682,756
12/16/2011,159,5,1221,50,872,349,523,0.546,0.559,0.609,0.573,13489,816,149365,695
12/17/2011,160,6,255,15,163,92,71,0.189,0.168,0.191,0.274,5664,532,190465,470
12/18/2011,161,0,263,14,116,147,-31,0.202,0.149,0.139,0.367,6411,579,80804,504
12/19/2011,162,1,254,30,214,40,174,0.187,0.345,0.253,0.151,14711,1021,177472,879
12/20/2011,163,2,4289,50,4071,218,3853,0.837,0.559,0.924,0.453,16831,1133,180052,1005
12/21/2011,164,3,525,66,367,94,273,0.352,0.675,0.396,0.276,17665,1052,168192,934
12/22/2011,165,4,663,39,391,198,193,0.407,0.466,0.405,0.432,15152,819,161037,692
12/23/2011,166,5,203,14,115,88,27,0.141,0.149,0.135,0.253,10222,644,161935,539
12/24/2011,167,6,5,1,3,2,1,0.01,0,0.016,0.008,5030,497,481926,444
12/25/2011,168,0,622,25,556,66,490,0.392,0.267,0.504,0.219,3464,348,937954,309
12/26/2011,169,1,693,37,473,194,279,0.424,0.438,0.459,0.424,10962,868,449682,794
12/27/2011,170,2,1166,58,507,659,-152,0.527,0.62,0.481,0.704,14042,953,493592,838
12/28/2011,171,3,1045,90,1585,164,1421,0.506,0.78,0.751,0.386,15538,937,338349,839
12/29/2011,172,4,1334,39,420,198,222,0.571,0.466,0.419,0.432,13922,791,146510,698
12/30/2011,173,5,2823,89,2291,532,1759,0.765,0.776,0.839,0.664,9639,664,136962,565
12/31/2011,174,6,608,21,485,123,362,0.386,0.227,0.466,0.322,4599,433,75850,386
1/1/2012,175,0,2309,583,1863,628,1235,0.717,0.943,0.793,0.691,5797,493,77661,459
1/2/2012,176,1,659,661,2113,3667,-1554,0.402,0.951,0.822,0.943,11735,807,124272,710
1/3/2012,177,2,214,676,4081,2196,1885,0.154,0.955,0.926,0.881,17032,817,273636,660
1/4/2012,178,3,2049,76,1036,1013,23,0.687,0.729,0.658,0.791,24101,4562,178538,1318
1/5/2012,179,4,390,24,360,30,330,0.286,0.257,0.394,0.13,21015,1176,185415,1039
1/6/2012,180,5,747,39,329,418,-89,0.449,0.466,0.379,0.611,19964,930,164934,812
1/7/2012,181,6,,,,,,,,,,7056,451,140609,393
1/8/2012,182,0,1552,26,1550,2,1548,0.616,0.297,0.742,0.008,10274,503,150312,426
1/9/2012,183,1,1746,49,148,1598,-1450,0.647,0.554,0.17,0.837,21307,1340,200713,1179
1/10/2012,184,2,63,9,16,47,-31,0.071,0.116,0.052,0.166,18119,1117,241071,963
1/11/2012,185,3,8,2,6,2,4,0.016,0.018,0.029,0.008,18282,1054,284224,883
1/12/2012,186,4,619,7,347,272,75,0.39,0.08,0.388,0.521,17675,987,219854,833
1/13/2012,187,5,208,25,127,81,46,0.151,0.267,0.156,0.238,16297,847,209241,692
1/14/2012,188,6,43,1,17,26,-9,0.056,0,0.054,0.109,6291,394,151146,327
1/15/2012,189,0,,,,,,,,,,6582,576,188997,504
1/16/2012,190,1,879,25,803,76,727,0.481,0.267,0.582,0.232,19188,1203,210841,1028
1/17/2012,191,2,600,45,298,302,-4,0.379,0.516,0.335,0.54,19845,1267,233251,1083
1/18/2012,192,3,140,9,124,16,108,0.113,0.116,0.149,0.073,25525,4775,237015,1287
1/19/2012,193,4,879,23,661,218,443,0.481,0.253,0.533,0.453,23557,1141,193418,946
1/20/2012,194,5,2412,62,1656,756,900,0.727,0.643,0.763,0.744,19238,957,153535,772
1/21/2012,195,6,2,1,1,1,0,0,0,0.004,0.002,6392,483,103748,430
