title;num_dozens;price;was_sold;date;unit_price
Titleist Pro V1x 3 Dozen NIB + 1 Sleeve (39 Balls);3;124.95;True;1900-09-22 15:20:00;41.65
BRAND NEW TITLEIST Pro V1 - 2 Dozen (24) Golf Balls #'s 1,2,3,4 !!;2;61;True;1900-09-22 15:04:00;30.5
Titleist Pro V1 Golf Balls. 3 Dozen Brand New In Boxes;3;82;True;1900-09-22 14:08:00;27.3333333333
12 TITLEIST Golf Ball ProV1 V1  Golf Balls  BRAND NEW Dozen Low Numbers;1;32;True;1900-09-22 13:27:00;32
12 TITLEIST Golf Ball ProV1x V1x  Golf Balls  BRAND NEW Dozen LOW numbers;1;32;True;1900-09-22 13:26:00;32
One (1) Dozen Brand New Titleist Pro V1 Golf Balls (logo);1;30;True;1900-09-22 13:23:00;30
Titleist Pro V1x ..... Two dozen..... New in box;2;70.01;True;1900-09-16 19:37:00;35.005
1 Dozen NEW Pro V1X Golf Balls ;1;39.99;True;1900-09-16 19:23:00;39.99
7 dozen new 2012 Titleist Pro V1X golf balls;7;245;False;1900-09-16 19:14:00;35
"6 DOZEN 2012 TITLEIST PROV1X GOLF BALLS--NO LOGOS--#1,2,3,&#8203;4 SHIPS IMMEDIATELY!";6;224.5;True;1900-09-16 19:05:00;37.4166666667
New 4 dozen pro v 1x 2012 model golf balls;4;120;True;1900-09-16 18:36:00;30
Dozen New In The Box Pro V1 Golf Balls;1;29;True;1900-09-16 18:30:00;29
Titleist Pro V1 X's (2012's) Brand New In Box! 1 Dozen. Please look at pictures;1;39;False;1900-09-16 18:09:00;39
Titleist Pro V1 Golf Balls, One (1) Dozen, New in Box, NIB;1;29.99;True;1900-09-16 16:54:00;29.99
Titleist Pro V1x Golf Balls - 1 dozen NEW # 1 ball in golf  prov1x  prov 1 prov1;1;26.22;True;1900-09-16 16:40:00;26.22
Titleist Pro V1x golf balls ** 2 dozen**   Brand new in Box Numbers 1-4;2;74.51;True;1900-09-16 16:23:00;37.255
4 dozen new Titleist Prov1;4;145;False;1900-09-16 15:54:00;36.25
5 dozen new Titleist Prov1;5;180;False;1900-09-16 15:51:00;36
Titleist Pro V1 New Golf Balls One Dozen #1 Ball ;1;32.5;True;1900-09-16 14:32:00;32.5
Titleist PRO V1X brand new 4 dozen;4;153.75;True;1900-09-16 13:49:00;38.4375
6 Dozen Brand New Titleist Pro V1X Golf Balls. 2012 Model New In Box;6;222.5;True;1900-09-16 13:18:00;37.0833333333
Alabama National Championship Titleist Pro V1x Golf Balls One Dozen;1;49.99;True;1900-09-04 13:17:00;49.99
